barcode,description
8410148505374,74.CACAHUETES.B.SELECC
8410148508115,15.B.ANACARDOS.B.SELECC
8410148505411,11.NUECES.B.SELECC.
8410148505640,40.PISTACHOS.B.SELECC.
8413164025062,62P.ONDULADO.JAMON.GREFUSA
8413164025079,79.P. FRITAS CAMPESINAS.GREFUSA
8413164022986,"86,PATATAS,ORIGINALES.GREFUSA"
153171163,46.CHOCO.CHIPS.N
8700216399357,57.ARIEL.ORIGINAL.2340G
8411897131500,00.LUZIL.OXY.COLOR.A
8410436441711,11.VERNEL.F.MARINO
8410436441230,30.VERNEL.CIELO.AZUL.60.LVDO
8410740908870,70.LACASITOS.DESPENSAFDOR
8410740909242,42.LACASITOS.PATRULLA
8410108133326,26.P.SLIP.EVAX.MAXI
8410014501714,14.COLACAO.BANADAS
8434165612549,49.MINI.CAMPURRIANAS
8412702004606,06.LAZOS.HOJALDRE
7622400004483,83.MILKA.TENDER
8414259800809,09.KONOROS
8422283930195,95.JUMPERS.MANTEQUILLA
8410573103817,17.JUMPERS.MIX
8412438021045,45.SURTIDO.PASTAS
8412779240105,"05.GALLEGA.LECHE,ENTERA"
8410128791742,42.COLACAO.ENERGY.1L
8414700000475,75.CHUFI.MAESTRO.1L
8480012009154,54.ACEITUNA.S/HUESO
8480012009185,85.ACEITUNA.GORDAL.C/HUESO.IFA
8480012009116,16.GAZPACHO.C/HUESO.IFA
8480012032169,69.MAGDALENA.REDON
8480012010402,02.PALMERA.IFA
8480012035726,26.DETERG.P.SENS.IFA
8411897129934,34.DETER.LUZIL.AZUL.24L
8480012029442,42.FRIGASUELO.LIMON.IFA.1.5L
8480012032688,88.PEPINILLOS.IFA
8412779260103,03.LECHE.GALLEGA.DESN
8410069001436,36.TALLARIN.GALLO.6.8
8410090010216,16.ATUN.CLAVO.UNIDAD
8445291238046,46.CHOCO.CHIPS.NESTLE
8495390841913,13.VASO.PLASTICO
8411700002621,21.BATIDO.P.SIN.LACTOSA
8410285999623,23.BATIDO.P.CHO.ZERO
8429359712532,32.UP.GRADE.HYDRATION
87170368,68.7UP.330ML
8410416009771,71.ALBONDIGAS.JARDI
8412100030603,03.ALBONDIGAS.POLLO.
8410505271010,10.ALUBIAS.LUENGO
8414339752639,39.AMONIACO.PERFUMADO.HIFER.2L
4009900536271,71.PAN.CENTENO
651637298768,68.MEDIO.BARRA.INTEGRAL
8413164025390,90.CACAHUETAZO.TIJUANA
8410199026439,39.LAY.SAL.125G
8410199026415,15.LAY.CAM115G
8410199026330,30.DOR.TEX.90G
8410199026453,53.RUF.SAL.125G
8480012021644,44.FRANKFURT.IF
8410320001496,96.CHOPPED.PORK.CAMPO
8410764012652,52.SALCHICHON.R.ARGAL
8410764012669,69.CHORIZO.R.ARGAL
8410320127950,50.SALCHICHON.IBERICO
8410320138703,03.SURTIDO.GOURMET.NAVI
8422241801079,79.TABLA.QUESO.TGT
8410259101069,69.LA.VACA.QUERIE.16U
8410843013662,62.JAMON.C.TAQUITOS
8410634083010,10.RALLADO.ESP.PASTA
8410634080088,88.SABANITAS.CLASSIC
8410320127912,12..CHORIZO.IBERICO
8434164505620,20.PHOSKITOS.ORIGINAL
8410172652525,25.CHOCOLATE.MILKA.L
7613033481314,14.LEON.C.CHO.NESTLE.
3387390335859,59.CEREALES.I.NESQUIK
5900020023797,97.CORN.FLAKES.NEST
8480024361233,33.G.MARIA.VIVO
8480024360977,77.G.MARIA.DORADO.VIVO
8411414013272,72.WAFER.FLORBO.MIX
8434165655270,70.NAPOLITANAS.SPECULOOS
8412674107596,96.MINIS.CRUNCHY
8412674108012,12.DONKIS.ARLUY
8434165633995,95.CH.FLAKS.MUERDOS
7622201410483,83.OREO.GOLDEN.MNI
7622300165628,28.OREO.CHOCO.MINI
3046920021807,07.CHOCO.LINDT.LECHE
8000500359815,15.FERRERO.R.DARK.90G
8000500359488,88.FERRERO.R.MILK.90G
8000500359556,56.FERRERO.R.RAFFAELLO.90G
8410261643168,68.SIMON.L.NARJA.PACK
8436048965261,61.FILIPINOS.35GEXTRA
8411700002287,PULEVA.CREC.MAX.PAK
8410283303453,53.CASERA.LIMON.330ML
8410283303354,54.CASERA.GASEOSA.330ML
8410283303552,52.CASERA.NARANJA.330ML
5601028031097,97.PAPEL.RENOVA.12U
8410350034082,82.TURRON.CACAHUETE
8410350032026,26.TURRON.CHOCOLATE
8410090051097,97.ATUN.CALVO.OLIVA
8410069016904,04.SALSA.CARBONARA.G
8430173290588,88.PILAS.CEGASA.LR6
8410241000134,34.PILAS.CEGASA.R6.1.5V
8480012012109,09.PILA.IFA.9V
8437005628861,61.CROISSANT.ARTESAN
8437005628885,92.CAÑAS.CHOCO.ARTESAN
8437005628601,01.MAGDALENAS.S/A.ARTESAN
8411428006383,83.REGAÑAS
8411428004013,13.PICOS.FINOS.275G.OBARD
8410014477460,60.NOCILLA.CHOCOMIX
8410014477453,53.NOCILLA.ORIGNAL
8410014478436,36.NOCILLA.AVELLANAS
5000157062741,41.HEINZ.VEGE.SOUP
5000157062697,97.HEINZ.MUSHROOM.SOUP
5000157062734,34.HEINZ.LENTIL.SOUP
8480012011072,72.MIEL.FLORES.IFA
8411700606126,26.FRESH.MILK.SEMI
8431876296662,62.FRESH.MILK.WHOLE
8431876296686,86.FRESH.MILK.SKIMMED
8410261603612,12.MELOCOTON.DON.SIMON.PACK
8410261650036,36.DISFRUTA.NARANJA.1.5L
8480012010341,41.CROISSANT.IFA.350G
8480012032176,76.PAN.CON.LECHE.IFA
8410087862361,61.ROSCON.RELLENO
8410087655338,38.DONAS.ZEBRA
8410087655321,21.DONAS.CHOCO
50157228,"28.HEINZ.SALAD,CREAM"
8714100536148,48.TARTARA.COLMAN
8714100535516,16.SALSA.MANZANA.COLMAN
8436048965278,78.FILIPINOS.BLNCO
8480012036891,91.CAFE.EXT.INTENSO.IFA
8480012036907,07.CAFEINTENSO.IFA
8480012039465,65.BURGER.BRIOCHE.IFA
8480012035450,50.MINI.BURGER.IFA
8480012016961,61.PAN.CEREALES.SE.IFA
8428594002248,48.MAIZ.PALOMITA
8480012021873,73.PAN.SANDWICH.CERE.IFA
8413164025383,83.CACAHUETAZO.RECUBIERTO
8480012012635,35.GALLETA.RELIEVE.IFA
8480012045763,63.PATATA.F.JAMON.150.IFA
18410469510009,09COLHOGAR
8480012025499,99.BOLSA.MOSCOTAS
8414221411033,33.ESTUCHE.B.MOSCOTA
8410634080187,87.SABANITAS.CLASIC.TGT
4015400917304,04.FAIRY.ULTRA480
9002490256289,89.REDBULL.APRICOT
9002490264222,22.REDBULL.BLUE
9002490245931,31.REDBULL.ZERO
9002490243302,02.REDBULL.COCONUT
6970903090122,22.PRINCESS
4542202657485,85.HIPPERS
5000394035355,55.DURACELL.2032
8901802731050,50.CABLE.USB.TYPE.C
4007993017240,40.MILKA.VANILLA.CHOCO.PACK
8720181131042,42.AXE.GOLD.TEMPTATION
8720181029363,63.AXE.DARK.TEMPTATION
8480012019511,11.BAYETA.MICROF.IFA
8480012011676,76.AMB.COLONIA.IFA
8480012011690,90.AMP.SPA.IFA
8480012011669,69.AMB.ROPA.LIMPIA
8700216259002,02.AMBIPUR.ORQUIDEA
8700216259125,25.AMBIPUR.FLOR.EXOTICA
8700216259026,26.AMBIPUR.OCEANO
8414100302841,41.SUNNY.MORANGO.1.25L
8414100354543,43.SUNNY.FRUTA.BOSQUE1.25L
8414100302742,42.SUNNY.MANDARINA.1.25L
4084500905764,64.AMBIPUR.ELECT.DIF
8410740919715,15.PARAGUAS.CHOCO
8410740918015,15.LACAS.FELIZ.NAVIDAD
8410740918022,22.CONGUITOS.NAVIDAD
87108019,19.MENTOS.MINT
87108026,26.MENTOS.FRUIT
87317527,27.MENTOS.SW.MIX
8480012011683,83.AMB.FLORES.BLA.IFA
8480012040539,39.PAPEL.ALUMINIO.IFA
8480012040508,08.FILM.TRANSPARENTE.IFA
7622300270469,69.MILKA.CHOCO.BISC.150
637902994634,34.MUSS.CHUPACHU.SIN/N
642613014441,41.MUSS.TRIPLE.MELON
642613007641,41.MUSS.RES.WATERMELON
642613261395,95.MUSS.ATERMELON.BUBB
8410261645070,70.MANGO.S.LIFE330ML
8410320398206,06.PECHUGA.PAVO.BRAS
8413164025604,04.MISTERCORN.MIX5.132G
8413164025598,98.MISTERCORN.ELORIGINAL
8480012003060,60.LEJIA.IFA.5L
8008110041120,20.SALCHICHA.W.CLASICO
8410175050526,26.CREMA.BECHAMEL.LEN
8410175051226,26.Z.ARROZ.POLLO
8429359003203,03.AGUA.CON.GAS.PAK
8480012010198,98.PAN.TOSTADO.IFA
8411134138903,03.CONTROL.NATURE
8436048965285,85FILIPINOS.CHOCO
8414100301141,41.TONICA.SCHWEPPES.1L
8410283028004,04.CASAERA.LIMON.ZERO
3179732348913,13.PERRIER.1L
8410100065045,45.PURE.CON.LECHE.MAGGI
8480012016930,30.CAFE.ESPRESSO.DESCF
8480012031773,73.CAFE.LECHE.DES.CAP.IFA
8480012003107,07.LEJIA.ROPA.BLANCA.IFA
8428033000262,62.ALCOHOL.QUEMAR
8410436428972,72.NEUTRES.OXY.BLANCO.950ML
8410436429474,74.NEUTREX.OXY.COLOR
8480012033623,23.ALCOHOL.PERFUMADO.IFA.750ML
8480012028346,46.VINAGRE.DE.ALCOHOL.IFA.1L
8850163000131,31.DUREX.EXT.SAFE.3U
7640427572075,75.PRIME.IBAI
8436568782096,96.FRESHYETI.PINTALENGUAS
8436568781945,45.FRESHYETI.CANDYMORA
8436568781952,52.FRESHYETI.PIRULETA
5060639127375,75.MONSTER.U.PARADISE
5061013944748,48.MONSTER.JUICED
5060751213512,12.MONSTER.U.F.MANGO
5060166697778,78.MONSTER.REHAB
154097242,01.BUITONI.TONNO
4009233000371,"71.BUITONI.POLLO,BBQ"
4009233000463,63.BUITONI.CARBONARA
4009233006106,06.JAMON.QUESO.BUITONI.
8437010296505,05.QUESO.FRESCO.LA.ABUELA
8480012015902,02.QUESO.FRESCO.IFA
8480012032640,40.COCKTAIL.ENCURTIDOS.IFA
8410843145523,23.TIRAS.BACON.ELPOZO
8410843036067,67.FIAMBRE.P.SANDWICH.ELPOZO
8410843129752,52.PECHUGA.PAVO.ELPOZO
8423717444264,64.BIZCOCHO.ALMENDRA.ARTESANA
5000159503617,17.MALTESERS34G
7622300370367,67.MILKA.DAIM
7622300631574,74.MILKA.OREO
5000159509671,71.SNICKERS.ICE.CREAM
8711200564149,49.BEN.&.JERRYS
8436600452321,21.GOUDA.SIN.LACTOSA
8410436384322,22.MAGNO.PACK
8410225556237,37.HENO.DE.PRAVIA
8720182264664,64.DOVE.JABON
8720181481239,39.DOVE.J.PACK
154302305,47.VEET.CREMA.DEPILAT
3014260000318,18.ESPOMA.GILLETTE
3142761450308,08.ESPONJA.FLOR
8480012042885,85.ESPONJA.IFA.2U
8480012042946,46.3GUANTE.CRIN.IFA
8410134027484,84.MELOCOTON.VIEJA.F.350
8410134027460,60.FRESAS.VIEJA.FABRICA.350
8410134027477,"77.FRAMBUESAS.VIEJA,FEBRICA.350"
8480012030578,78.ATUN.OLIVA.IFA
8480012027745,45.SALSA.YOGUR.IFA
8428653000604,04.DALYSOL.GIRASOL
7613036928243,43.CHOCO.N.EXTRA.F.ALM
8715700417684,84.3PEPPER.HEINZ
8711327622289,89.MAGNUM.EUPHORIA
8420756001076,76.TARTA.QUESO
8423128111854,54.BURKEBAB.SIMONS
8423128111199,99.CRISPY.BURGER
8423128101114,14.BURGER.TERNERA
8410809133359,59.VARITAS.MERLUZA
8410705003909,"09.CROQUETAS.POLLO,CASERA"
8420321076812,12.TENDERS.POLLO.BARBACOA.FRIPOZO
8420321076706,06.CRUNCHY.POLLO
8420321033358,58.NUGGETS.POLLO
8710449948475,75.P.F.SUPER.CRUNCHI
8410740920803,03.LACASITOS.HUCHA
8410705003923,23.CORQUETAS.JAMON
8420321692098,98.NACHOS.QUESO.FRIPOZO
8410063006154,54.PESKITOS.MERLUZA
8414335461924,24.BOCAS DEL MAR.KRUSTASUR
8411420005209,09.TORTAS.BANITAS
8480012010549,49.TORTAS.DE.ACEITE.IFA
8437010146992,92.BASES.DE.TARTA
8480012041222,22.PATATA.GAJO.RUSTICA.IFA
8480012013632,32.PATATA.MUY.FINAS
8480012021477,77.TRONQUITOS.DE.MAR
8436553470120,20.GAMBA.PELADA
8480012013618,18.PATATA.FRITAS.IFA
8410074002695,95.PANNINI.J.QUESO
8436021252647,47.PANIPENI.JAMON.QUESO
8480012001479,79.PAPEL.COCINA.DECORADA
8410740006347,47.LACASITOS.225G
8410556008474,74.CONGUITOS.190G
8428489854501,25.REVUELTO.SAGACOR
7322540670608,08.PAPEL.COLHOGAR.3C.4U
8480012034064,64.PISTACHO.SIN.CASCARA.IFA
8420241113727,27.GUINDAS.ZAHOR
8410740911733,33.ARANDANO.CHOCO.LACASA
8410740910590,90.PISTACHOS.CHOCO.LACASA
8410740915717,17.NUECES.CHOCO.LACASA
8410740910576,76.ALMENDRA.CHOCO
8480012038413,13.QUITAMANCHAS.IFA
8480012041734,34.CAÑITAS.PAPEL.IFA
8480012014431,31.PALOMITAS.CLASIC.IFA
8480012011348,48.TORCIDAS.DE.MAIZ.IFA
8480012011300,00.NACHOS.QUESO.IFA
8410000804232,"32.FILIPINOS,CHOCO.BLANCO"
8410261642352,52.PIÑA.COCO.D.SIMON.1.5L
8006540790649,49.ARIEL.PODS.25+9
8430017050866,66.TENEDORES.20U
8480012041758,58.COCHARILLAS.IFA.10U
8711327324725,25.CORNETTO.VANILLA
8436000037456,56.PAN.DE.DATIL.NUECES
8480012026434,34.CHIPS.VEGETALES.IFA
8436561571468,68.CREMA.DE.JAMON
8436561571338,38.CREMA.DE.J.YORK
8480012016978,78.PAN.CENTENO.18%.IFA
8410069018960,60.SPAGHETTI.NO3.450G
8423368144056,56.ACEITUNA.SEVILLANA
8410300361121,21.YATECOMO.HOT&SPICY
8000500423608,08.HAPPY.HIPPO.KINDER
8480012000090,90.LECHE.SEMI.SIN/LECTOSA.IFA
8412600037362,62.PANTERA.R.CROISSANT
8410573103732,32.POPITAS.MANTAQUILLA
8414700023047,47.FRESH.WHOLE.MILK.1.5L
8410320307604,04.PIZZA.J.BACON.CAMPOFRIO
8410954000087,87.GUINDILLAS.RIOVERDE
8445291251458,58.CAJA.ROJA.5.BOMBONES
8424058002755,55.SANDWICH.ATUN.HUEVO
8480012003589,89.BOMBON.PRALINE.IFA
8001090420770,70.GILLETTE.FUSION5
8001090472694,94.GILLETTE.MACH3
8411420007708,08.MANTECADO.CASERO
8411420006602,02.MANTECADO.DOBLE.CANELA
8411420000013,13.POLVORON.ALM.B/CHOCO
8006540891438,38.LENOR.40.LVDO
8000500359358,58.NUTELLA.BISCUITS
80177609,09.KINDER.CHOCOLATE.4T
80874652,52.KINDER.CARDS.25.6G
4008400284620,20.KINDER.SCHOKO.BONS
8480012025086,86.BEBIDA.SOJA.S.AZU
154788304,86.BEBIDA.SOJA.S.AZU
8480012025123,23.BE.ALMENDRAS.CALCIO
8480012025116,16.BEBIDA.ARROZ.CALCIO
8480012025109,09.BEBIDA.AVENA.CALCIO.S.AZU
8480012039939,39.ALIM.G.IFA.100
8480012004494,94.ALIM.G.IFA.PAVO.300G
8480012040225,25.B.ALMENDRAS.0%
8411878003383,83.KIRIKO.LEJIA.DETERGENTE
8411878199383,83.KIROKI.AMONIACO.PERF
8411878208191,91.KIRIKO.AMONIACO.DTERGENTE
8411878402193,93.KIRIKO.LEJIA.PERF.2L
8411878302196,96.KIRIKO.LEJIA.PINO.PERF.2L
8886467000584,84.LUX.MAGICAL.SPELL
8886467064586,86.LUX.AGUA.SPARKLY
8886467064432,32.LUX.BRIGHT.IMPRESS
8422839001379,79.TIJERAS
8718951192683,83.COLGATE.PLAX.250ML
8412101254008,08.LISTERINE.MENTOL.250ML
8410055050059,59.FONT.VELLA.50CL
7622210419972,72.MILKA.SENSATIOIN.COOKIES
7613287491909,09.FELIX.ORIGINAL.ATUN.SALMON
7613287491879,79.FELIX.ORIGINAL.POLLO.BUEY
7613035799035,35.FRISKIES.PADAZE
8410634009584,84.QUESO.RALLADO.PIZZA
8410634011594,94.QUESO.MOZZARELLA.TGT
154818549,80.MILKA.CHOCOLATE.270G
76145513,13.TOBLERONE.50G
7622210440914,14.PHILADELPHIA.S/LACTOSA
8410069015051,51.PLACAS.LASAÑA.GALLO
8480012016176,"76.EMPANADILLAS.ATUN,IFA"
8413413150125,25.MINI.SAN.JACOBOS
8437001329014,14.CHURROS
8410069016881,81.LASAÑA.GALLO
8480012043820,20.EDULCOLRANTE.IFA
3392590203846,46.MASSA.DE.PIZZA.BIO
8480012023525,25.MASA.PIZZA.EXT.FINA.IFA
8480012010747,47.MASA.EMPANADA.IFA
8480012010723,23.MASA.HOJALDRE
8480012005934,34.ALUBIAS.ROJAS
80135876,76.NUTELLA.400G
8410740908061,61.TRUFAS.LA.CASA
8480012012710,10.GALLETA.CHOCOLATE.IFA
8480012025062,62.BEBIDA.SOJA.C.IFA
8006540876572,72.PANTENE.ANTICASPA
5410126006377,77.BISCOFF.VANILLA
8480012009819,19.SPAGHETTI.IFA.500G
8480012038529,29.ALIM.GATOS.CARNE.VEG
8480012004456,56.ALIM.GATOS.PATE.POLLO.PV
8480012004449,49.ALIM.GATOS.BOCADITOS
5410076326389,89.AMB.RECAMBIO.FLORES.E
4015600435318,18.AMBI.RECAMBIO.TATAMI.J
4015600435509,09.AMBI.RECAMBIO.ARMONIA
8076802085738,38.MACARONE.PENNE.RIGATE
8480012018071,71.COMINO.GRANO.IFA
8480012045015,15.BISCOTES.IFA
5901356070974,74.WAFER.ROLLS.CHOCO
8434165466166,66.KRIT.CRECKERS.
8420321692081,81.NACHOS.GUACAMOLE.Q.FRIPOZO
8420321679624,24.SOLOMILLO.POLLO.KEN
8420321690025,25.CHEDDER.BITES.FRIPOZO
8700216442374,74.ACONDIC.P.RIZOS.DEFIN
8700216419826,26.ACONDIC.P.REPARA&PRO.275
8006540877791,91.ACONDI.P.RIZOS.DEFI.180
8006540877685,85.ACONDI.P.SUAVE&LISO.180
8006540877067,67.ACONDI.P.REPARA&PROTEGE.180
8480012020494,94.FLAN.IFA
8480012020531,31.NATILLAS.CHOCO.IFA
8480012020517,17.NATILLAS.GALLETA.IFAS
8437001210121,21.KUADRADITOS.BBQ
8480012011188,88.PATATA.PAJA.IFA
8006540348925,91.PANTENE.LACA.V.PERFECTO
8006540346891,91.PANTENE.LACA.V.PERF
8006540346976,76.P.ESPUMA.RIZOS
8006540347058,58.P.ESPOMA.V.PERFECTO
8410667021126,26.ACEITUNA.SIN.HUESO.PACK
8410320394949,49.BURGER.BERENJENA
8414606485031,31.HUEVO.12.M
8410046661547,47.FLOTA.BOUQUET.42LV
8480012045008,08.BISCOTES.60%.INTEG.IFA
8412666025976,76.SAL.ROSA.HIMALAYA..390
8412666025969,69.SAL.MARINA.350G
8480012029671,71.PIMIENTO.ROJOS.TIRAS.IFA
651637483416,16.MUSS.PINEAPPEL.PEACH
4009233000647,47.5.QUESO.BUITONI
4009233000401,01.ATUN.BUITONI
8410087527994,94.CHAPRLAS.CACAO.LECHE
8410087165240,40.GUAITS.RELLENO.NATA
8410087571249,49.CHAPELAS.EXTRACAO
8410300349051,51.CALDO.POLLO.G/BLANCA
8426617002527,"27.HARIBO.CHISPÀ,C.PIKA"
8426617010126,"26.HARIBRO.FAVPRITOS,FUSION.100G"
8426617002572,72.HAR.HAPPY.COLA
8426617013134,34.HARIBRO.CEREZAS.100G
8480012013076,76.BACON.COCIDO
8410500029784,84DANONE+PROTEINA
8410320013949,49.TIRA.JANON
8410199026309,09.DORITOS.90G
8410843005810,10.SOBRASADA.ELPOZO
6902088961423,23.CLOSEUP.RED.HOT.90G
6902088961430,30.CLOSEUP.EUCALYPTUS.F
8410014503268,68.NOCILLA.STICKS
50173204,04.ORBIT.MENTA
8421464009026,26.P.MALAGUEÑAS.SALEROSAS
8421464510300,00.P.MALAGUEÑAS.UNA.MIJILLA.SAL
8410867004868,68.CAZUELA.PAELLA.VALENC
8410182000910,10.MEDI.SALAD.PIMIENTOS
8410182000903,03.MEDI.SALAD.VERDURAS
8410175050823,23.HERTVIDO.VERDURAITAS
8410175050021,21.V.POLLO.TERNERA
8410175050229,29.ZANAH.TERNERA
5053990154555,55.PRINGLES.SOUR.C.O.200G
5053990175949,49.PRINGLES.SMOKIN.BBQ
8429359328016,16.F.UENTE.P.BEBETE50CL
8414100388630,30.SCHWEPPES.PINK.ZERO
8414100387510,10.SCHEWEPPES.CITRUS.ZERO
8411090310139,39.CRUZCAMPO.0%
8420627000214,14.AGUA.L.RISCOS.0.33L
8480012042397,97.PAN.BRIOCHE
8410331200017,17.PANETTON.FRUTA
8410331200024,24.PANETTONE.CHOCOLATE
8720181027758,58.AXE.ICE.CHILL
8720181131059,59.AXE.AFRICA
8720181027796,96.AXE.MARINE
8720181131035,35.AXE.YOU
8718951463714,14.SANEX.MAN.ACT.CONTROL
42247371,71.ORBIT.BUBBLEMINT
42070733,33.ORBIT.WHITE
40099996,96.ORBIT.MENTOL.FUERTE
50173617,"17.ORBIT,EUCALIPTO"
84199140,40.TRIDENT.TROPICAL.MIX
87337914,14.TRIDENT.WATERMELON
8414100364092,92.SUNNY.LIMON.330ML
8000500247150,50.FERRERO.COLLECTION.15U
8000500005187,87.FERRERO.PRESTIGE.21U
8410069013460,60.G.TORTELLONI.CARNE.GALLO
8410069013477,77.G.TORTELLONI.QUESO.GALLO
8480012030776,76.PAN.RALLADO.CRUJIENTE.IFA
8410843036333,33.FIEMBRE.YORK.ELPOZO
8718951455405,05.COLGATE.T.ACTION.2TUBO
7613036723701,01.N.DOLCA.CHOCO.LECHE
8000300264388,88.N.CRUNCH
7622210953421,21.M.OREO.BROWNIE
8480012005002,02.T.TRITURADO.IFA.800G
8437005628892,92.CAÑA.DE.CHOCOLATE
8480012016411,11.ACEITUNA.RELLENA.D.ANCHOA
8410408050392,92.KAS.MANZANA.2L
30104907,07.OCB.TOSTADO
30058569,69.OCB.SLIM
30052765,65.OCB.1/4
5760466997188,88.STARBUCKS.ESPRESSO
5760466997164,64.STARBUCKS.CAFFE.LATTE.220ML
5711953173332,32.S.BUCKS.CHOCO.HAZL
5711953023958,58.STARBUCKS.CAPPUCCINO.220ML
5011157888125,25.TILDA.EGG.F.RICE
5011157994352,32.TILDA.C.RICE.&PEAS
5011157888101,01.TILDA.P.BASMATI.RICE
5011157888156,56.TILDA.PILAU
5027255078719,19.PLAIN.NAAN.BREADS
5000157006875,75.HEINZ.SPAGHETTI
5050665020429,29.N.CHOW.MEIN
5050665020504,04.N.HOISIN.DUCK
5050665037069,69.N.GREEN.CURRY
5050665023741,41.N.SWEET.CHILLI
5050665038882,82.N.CURRY.RICE
5050665022584,84.N.CURRY.NOODLES
50354061,61.HARTLEYS.STRAWBERRY
50354078,78.HARTLEYS.RASBERRY
50354092,92.HARTLEYS.BLACKCURRANT
3057640372513,13.VOLVIC.STRAWBERRY
3057640407253,53.VOLVIC.SUMMER.F
3057640373183,83.VOLVIC.L.LIME
3057640548598,98.VOLVIC.MANGO.PASSION
5060292125619,19.PERFENTLY.CH.RASPBERRY
700220210233,33.PERFECTLY.S.FRUITS.500ML
700220210226,26.PERFECTLY.LEMON.500ML
700220210202,02.PERFECTLY.STRAWBERRY.500ML
5060292124513,13.PERFECTLY.ORANGE.M
5000208013524,24.TEABAGS.TETLEYS.72S
5010035050883,83.FOX.JAM&CREAM.180
5010035069298,98.FOX.GINGER.CRUNCH
5010035068376,76.FOX.TRIPLE.CHO.COOKIES
039047001138,13.WALKERS.BUTTER
039047001329,29.WALKERS.CHOCO.CHIPS
5711953158476,76.ARLA.FRESH.CHEESE
5449000009500,00.COCA.COLA.CHERRY
8436032230245,77.BOCADILLO.KEBAB
8436032230177,77.BOCADILLO.POLLO
50437542,42.REBERTS.HOT.BUNS
5018156004433,33.SCONES.CHERRT.SULTANA
8480012032145,45.MIEL.ROMERO.IFA
8410320380621,21.SALCHICHON.PAVO.CAMPOFRIO
8436012686017,17.ESPONJA.JABONOSA
8480012010822,22.PAN.M.SIN.CORTEZA
5000159557771,71.BOUNTY
8421464510850,"50.REVUELTO,MALAGUEÑO"
8480012043776,"76.INTERDENTE.FINO,IFA"
8480012026328,28.INTERDENTAL.MICRO
4000177172650,50.CAPRI.SUN.MANGO/M
4000177155417,17.CAPRISUN.ORANGE/P
4005808279470,70.NIVEA.LOCION.Q10.400ML
8006540417072,72.P.MASCARILLA.RIZO
8006540417119,19.P.MASCARILLA.REPARA
8006540417157,57.P.MASCARILLA.KERATINA
8411047143186,86.CREMA.CORP.I.ESPAÑOL
8411047108642,"42.CREMA.PIEL.I,ESPAÑOL"
4005808222940,40.GEL.AFEITAR.NIVEA
3600542528245,45.AGUA.MICELAR.ALOE
3600541358485,85.AGUA.MICELAR.TODO
8425986010058,58.LABAN
8003340803449,49.BOMBON.LINDOR.LECHE.137G
8003340803340,40.BOMBON.LINDOR.CORAZON
8410117628110,10.BOMBON.NUXOR.27G
8003340801223,23.BOMBON.LIND.37G
8000500023976,76.BOMBON.RAFAELLO.150G
7613035310506,06.CHO.DARK70%.NESTLE
8410109128994,94.CHO.NEGRO.VALOR
8436025200040,40.TURRON.ALMENDRA.100G
8437002353001,01.TORTAS.ACEITE..70G
8480012000533,33.ACEITE.GIRASOL
8480012010501,01.NAPOLITANA.CREMA
7613033280047,47.C.SANTA.CRIS.GRANO.500G
5054563203335,35.POLIDENT.FIJACION.FORTE.44G
5000198009552,52.LIMP.PROTESIS.POLIDENT
8411300565069,69.LOREAL.EX.CREME.7
8411300565076,76.LOREAL.EX.CREME.8
8411300565045,45.LOREAL.EX.CREME.5
8411300565052,52.LOREAL.EX.CREME.6
8411300565021,21.LOREAL.EX.CREME.3
8411300565038,38.LOREAL.EX.CREME.4
8420209019405,05.VINO.TINTO.G.DUQUE
8480012025352,52.AMBIENTADOR.WC.MARINA.2.U
8480012025345,45.AMBIENTADOR.WC.PINO.2.U
4015600641610,10.AMBIPUR.CAR.FLORES
4015600641580,80.AMBIPUR.CAR.MARINA
8410104017231,31.RECAM.AIRWICK.LIRIO
8410104156695,95.RECAM.AIRWICK.DELICIAS
8480012003053,53.LEJIA.IFA
8480012041420,20.LEJIA.CON.DETERG.AZUL.IFA.2.L
8410069019639,39.HARINA.DE.REPOSTERIA.GALLO
8410069021304,04.HARINA.FUERZA.GALLO
8410320256346,46.CHORIZO.PICANTE.REVILLA
8410320399449,49.SALCHILONCHA.CAMPOFRIO
8410320267526,26.CUIDA.T.P.PAVO.CAMPOFRIO
8437010146565,65.LAZOS.CEBRA
8410199026460,77.RUFFLES.YORK.200G
5601363014199,99.MIX.UPS.QUESO.125G
8801056244873,73.ALOE.VERA.SANDIA
8410055150070,70.FONT.VELLA.PACK
8412779250104,04.MILK.SEMI.GALLO
8410199026323,23.DORITOS.TEX.MEX.160G
8410320370530,30.SALCHICHA.VIRNA.PACK
8410320292405,05.SALCHICHA.POLLO
8429359001209,09.AGUA.GAS.50CL.PACK
8437001960200,00.PIMIENTO.ASADO
5060402900860,60.MYM
5060122036849,49.SNICKERS
5060402902130,30TWIX
5060122034401,01.MARS
5060122034487,87.BOUNTY
8410134027545,"45.F.DEL,BOSQUE.L.V.F"
8410500029548,48.DANONE.GRIEGO
7613032541040,40.JUGOSO.HORNO.AJILLO
7613032539986,86.JUGOSO.H.HEIRBA.P
7613033068904,04.JOGOSO.H.BARBACOA
8720182969545,45.SOPA.CEBOLLA.KNORR
8410843148722,22.PROTEINAS.POLLO.ELPOZO
8001841536934,34.TAMPAX.SUPER.PLUS.16U
8410100017556,56.YOGOLINO.FRESA
8480012010228,28.MINI.BISCOTES.IFA
